first name,last name,image_href,gender,age,birthdate_x,birthdate_y,Zodiac Name,occupation,hometown,entered,left,status,spouses,children
Benjamin,Noel,https://static.wikia.nocookie.net/loveisland/images/e/e3/S10_Benjamin_Noel.jpg/revision/latest?cb=20230705181902,Male,27,"October 5, 1996",05-10-1996,Libra,Fitness Business Owner,"London, England",Day 26,Day 31,Dumped,,
Danielle,Mazhindu,https://static.wikia.nocookie.net/loveisland/images/7/7c/S10_Danielle_Mazhindu.jpg/revision/latest?cb=20230705181904,Female,26,"February 12, 1998",12-02-1998,Aquarius,Recruitment AssistantOccupational Therapy Student,"Liverpool, England",Day 27,Day 31,Dumped,,
Gabby,Jeffery,https://static.wikia.nocookie.net/loveisland/images/6/6e/S10_Gabby_Jeffery.jpg/revision/latest?cb=20230705181907,Female,25,"September 13, 1998",13-09-1998,Virgo,Creative Assistant,"Tyneside, England",Day 27,Day 31,Dumped,,
Kodie,Murphy,https://static.wikia.nocookie.net/loveisland/images/1/11/S10_Kodie_Murphy.jpg/revision/latest?cb=20230705181911,Male,,,,Capricorn,Social Media Marketer,"Birmingham, England",Day 26,Day 31,Dumped,,
Tink,Reading,https://static.wikia.nocookie.net/loveisland/images/9/9f/S10_Tink_Reading.jpg/revision/latest?cb=20230705181917,Female,26,"May 24, 1997",24-05-1997,Gemini,Project Manager,"Birmingham, England",Day 27,Day 31,Dumped,,
Zachary,Ashford,https://static.wikia.nocookie.net/loveisland/images/6/65/S10_Zachary_Ashford.jpg/revision/latest?cb=20230705181918,Male,28,"November 9, 1995",09-11-1995,Scorpio,Senior Sales Executive,"Manchester, England",Day 26,Day 31,Dumped,,
Mal,Nicol,https://static.wikia.nocookie.net/loveisland/images/e/e5/S10_Malissa_Nicol.jpg/revision/latest?cb=20230620222529,Female,26,"September 10, 1997",10-09-1997,Virgo,Picture researcher,"Edinburgh, Scotland",Day 16,Day 23,Dumped,,
Mehdi,Edno,https://static.wikia.nocookie.net/loveisland/images/f/fb/S10_Mehdi_Edno.jpg/revision/latest?cb=20230612133905,Male,26,,,Capricorn,Communications manager,"London, EnglandBordeaux, France",Day 1,Day 23,Dumped,,
André,Furtado,https://static.wikia.nocookie.net/loveisland/images/b/b6/S10_Andre_Furtado.jpg/revision/latest?cb=20230529135029,Male,21,"May 15, 2002",15-05-2002,Taurus,Business owner,"Birmingham, England",Day 1,Day 12,Dumped,,
Charlotte,Sumner,https://static.wikia.nocookie.net/loveisland/images/a/a3/S10_Charlotte_Sumner.jpg/revision/latest?cb=20230612133941,Female,30,"May 31, 1993",31-05-1993,Gemini,Dental Nurse,"Bournemouth, England",Day 8,Day 12,Dumped,,
Ruchee,Gurung,https://static.wikia.nocookie.net/loveisland/images/5/59/S10_Ruchee_Gurung.jpg/revision/latest?cb=20230529135059,Female,25,"September 5, 1998",05-09-1998,Virgo,Beautician,"Sutton, England",Day 1,Day 9,Dumped,,
George,Fensom,https://static.wikia.nocookie.net/loveisland/images/e/ea/S10_George_Fensom.jpg/revision/latest?cb=20230612133951,Male,24,,,Capricorn,Business development executive,"Bedford, England",Day 1,Day 5,Dumped,,
